1,w,19763
2,i,5712
3,na,4242
4,z,3931
5,się,2273
6,ur,2222
7,do,2211
8,roku,1971
9,jest,1783
10,od,1714
11,przez,1290
12,a,1115
13,zm,991
14,gmina,937
15,wieś,921
16,powiecie,899
17,to,899
18,polsce,886
19,we,847
20,oraz,814
21,województwie,793
22,o,768
23,miejscowość,756
24,położona,748
25,gminie,725
26,m,631
27,regionie,623
28,km,623
29,polski,588
30,r,581
31,lub,569
32,po,536
33,latach,507
34,francji,499
35,jako,454
36,departamencie,430
37,miasto,424
38,został,416
39,jego,416
40,nie,416
41,był,409
42,mieszkańców,366
43,września,365
44,miasta,360
45,rodziny,360
46,lutego,359
47,października,353
48,maja,352
49,marca,347
50,stycznia,344
51,listopada,343
52,lat,343
53,także,334
54,dla,332
55,są,328
56,pod,326
57,ang,325
58,kraju,323
59,części,322
60,ii,319
61,lipca,312
62,amerykański,310
63,pozycji,307
64,również,307
65,czerwca,305
66,przy,305
67,kwietnia,301
68,piłkarz,300
69,de,299
70,sierpnia,293
71,została,290
72,za,288
73,leży,281
74,znajduje,279
75,prowincji,269
76,n,264
77,który,262
78,the,262
79,grupy,260
80,świata,260
81,nad,260
82,obecnie,258
83,zachód,256
84,grudnia,255
85,odkryta,254
86,niem,254
87,ok,250
88,jej,247
89,hrabstwie,243
90,była,241
91,jak,240
92,stanie,235
93,nazwa,234
94,gatunek,231
95,p,230
96,ze,229
97,j,227
98,dystrykcie,226
99,anglii,225
100,tym,221
101,były,217
102,album,216
103,planetoida,215
104,polityk,209
105,jeden,208
106,skład,206
107,warszawie,205
108,odległości,204
109,ciągu,203
110,podczas,202
111,pierwszy,199
112,tego,196
113,średniej,195
114,około,195
115,według,194
116,of,190
117,wieku,188
118,głównego,186
119,północny,186
120,wojny,185
121,londynu,184
122,słońce,183
123,niemczech,182
124,które,181
125,ros,180
126,zespół,180
127,pasa,178
128,okrążająca,178
129,wschód,175
130,wydany,174
131,in,173
132,asteroid,172
133,zespołu,172
134,ma,171
135,u,170
136,siedzibą,166
137,gminy,166
138,polska,160
139,występujący,159
140,grający,157
141,rodzaj,155
142,że,155
143,e,153
144,miejsce,153
145,część,152
146,występuje,150
147,on,149
148,co,147
149,zachodniej,144
150,polskiego,143
151,typu,143
152,terenie,141
153,światowej,141
154,film,139
155,położony,138
156,między,138
157,ten,137
158,która,137
159,związkowym,136
160,też,135
161,s,134
162,usa,134
163,parafia,134
164,pochodzi,134
165,kościoła,134
166,niemiecki,133
167,północ,132
168,tej,131
169,północnej,130
170,stacja,129
171,włoszech,129
172,której,129
173,znany,127
174,ją,127
175,zjednoczonych,126
176,jedna,125
177,wschodniej,125
178,znajdująca,125
179,św,123
180,południowej,123
181,rodzaju,123
182,działacz,122
183,pomiędzy,121
184,ich,121
185,mieście,121
186,głównie,119
187,pomorskim,118
188,wchodzi,115
189,osób,115
190,d,115
191,przed,112
192,tylko,112
193,pochodzenia,112
194,gdzie,112
195,kościół,111
196,np,111
197,którym,109
198,pomocnika,109
199,jednak,109
200,pisarz,108
201,francuski,107
202,port,107
203,mazowieckim,106
204,wysokości,105
205,miała,105
206,mężczyzn,105
207,którego,104
208,go,103
209,czy,103
210,aktor,103
211,b,101
212,mistrzostw,100
213,linii,99
214,l,99
215,tytuł,99
216,łac,98
217,kobiet,98
218,danych,98
219,nr,97
220,dwóch,97
221,tys,97
222,położone,97
223,miejscowości,97
224,raz,97
225,których,97
226,ngc,97
227,południowy,96
228,południowo,96
229,może,96
230,członek,96
231,należy,95
232,km²,94
233,wsi,93
234,saint,93
235,centrum,93
236,jednym,93
237,iii,92
238,reżyserii,90
239,lotniczy,90
240,szczyt,90
241,obrońcy,89
242,syn,89
243,nowym,89
244,grupa,88
245,klub,88
246,osada,87
247,innych,87
248,język,87
249,gwiazdozbiorze,87
250,europy,86
251,liczy,86
252,wynosi,86
253,jan,85
254,polskiej,84
255,system,84
256,ale,84
257,krakowie,84
258,być,83
259,armii,83
260,ukr,83
261,la,82
262,profesor,82
263,nim,82
264,dzielnicy,82
265,wielkopolskim,82
266,ul,82
267,brytyjski,82
268,siedziba,82
269,gra,82
270,czasie,81
271,północno,80
272,najbardziej,80
273,wojska,79
274,diecezji,79
275,łódzkim,78
276,historii,78
277,środkowej,78
278,często,78
279,jap,78
280,muzyki,77
281,wielkiej,77
282,piłkarski,77
283,poseł,76
284,sejm,76
285,wraz,76
286,drugi,76
287,później,76
288,park,75
289,c,75
290,uniwersytetu,75
291,południe,75
292,lista,75
293,medalista,74
294,imię,74
295,liczyła,74
296,związek,74
297,kolejowa,74
298,wielu,73
299,amerykańska,73
300,włoski,73
301,serii,73
302,okresu,73
303,było,73
304,długości,72
305,autor,72
306,powstał,72
307,różnych,72
308,woj,72
309,ulicy,72
310,klubu,72
311,stanach,72
312,and,71
313,gr,71
314,wydana,71
315,najczęściej,71
316,wyspy,71
317,rosyjski,70
318,należący,70
319,pobliżu,70
320,celu,70
321,górna,70
322,odkrył,70
323,muzyczny,69
324,znajdują,69
325,posiada,69
326,należącego,69
327,galaktyka,69
328,ponad,69
329,mistrz,68
330,powstała,68
331,wyniku,68
332,można,68
333,x,68
334,ważki,68
